func_args;signature;origin
LogClaim(bytes32,address,uint256);\x9c121aff33b50c1a53fef034ebec5f83da2d5a5187048f9c76c397ba27c1a1a6;10
LogWithdraw(address,uint256);\x4ce7033d118120e254016dccf195288400b28fc8936425acd5f17ce2df3ab708;10
AddedBlackList(address);\x42e160154868087d6bfdc0ca23d96a1c1cfa32f1b72ba9ba27b69b98a0d819dc;10
RemovedBlackList(address);\xd7e9ec6e6ecd65492dce6bf513cd6867560d49544421d0783ddf06e76c24470c;10
ProxyTargetSet(address);\xf1b1e874978309afba903baec19abf568b0337fcedc05dde58cfea25ec25b94d;10
Refill(uint256);\xeaed9ac791ffc98eefecab801a57f40082eff3e35ae776a81f0e84a7c5b9359d;10
DestroyedBlackFunds(address,uint256);\x61e6e66b0d6339b2980aecc6ccc0039736791f0ccde9ed512e789a7fbdd698c6;10
BlockchainExchange(address,uint256,uint256,bytes32);\x230e102e6565b461183889793c10ca61c5112f749edf48039d91ae0ea1a1da64;10
UpdatedTokenInfo(string,string);\x1a29df35a24b825d5ea598f97d7eac449092d02441c5cfd83f9fbf5c8f8513da;10
Freeze(address,uint256,uint256,uint256);\xf9cb5c17815ba987112a846368b587c1f0ea0331941bfea6ac3f8f58b1408259;10
Unfreeze(address,uint256);\x2cfce4af01bcb9d6cf6c84ee1b7c491100b8695368264146a94d71e10a63083f;10
MintedToken(address,address,uint256);\x91e192b71eaae0fd496ae9ad5b12d862ffcaed9800bdfbfa64edba56943c0662;10
RecievedEther(address,uint256);\x2115fd557368343a79c5fa055e19e2b5c97241cdaea4d5bbee16a2e15ba1ca70;10
SalePause();\xb61de3dfeccfeb124c1abdab22b8d78bc5d387ac62f38b33f31bd91a3e3a935f;10
SaleUnpause();\xad4d250f9a6a280bb86963f0850bbe884e7ae1744640fdf52a6dd8a066f64c08;10
DocumentIssued(bytes32);\x01a1249f2caa0445b8391e02413d26f0d409dabe5330cd1d04d3d0801fc42db3;10
DocumentRevoked(bytes32);\x7283b5ab9758f7fba773279e4fd50ea7b136bd1d8371dcae9c5ce529c55343d7;10
RateUpdated(uint256,bytes32,uint256);\xac1deea0e640492bbd200ce9e2992f2cab37749ee28a89e8ae7fb852b9fb3ea4;10
Issue(address,uint256);\xc65a3f767206d2fdcede0b094a4840e01c0dd0be1888b5ba800346eaa0123c16;10
Birth(uint256,string,address);\xb3b0cf861f168bcdb275c69da97b2543631552ba562628aa3c7317d4a6089ef2;10
TokenSold(uint256,uint256,uint256,address,address,string);\x008201e7bcbf010c2c07de59d6e97cb7e3cf67a46125c49cbc89b9d2cde1f48f;10
PriceChange(uint256,uint256,uint256,string);\xfbc39b9535d757aaf0b25706fe097f3ca5e99ecb209f90d90d0d7ea1569cb038;10
BalanceAdj(address,address,uint256,string);\x99affe65171b929cf897471b0e82d82c6cc3406b53fdbc068ea3b174e7713176;10
ModuleSet(address,bool);\x96bf850214e832f3d463d74cdf933b2aa73175e078496bd11f5e8afaeb2bbb9c;10
Transaction(address,uint256,bytes);\x67b25f942bae0532e9fd9cf32dc107fb42e6c268885aa3b9fc65c5158e77e96a;10
OwnershipRequested(address,address);\x13a4b3bc0d5234dd3d87c9f1557d8faefa37986da62c36ba49309e2fb2c9aec4;10
OwnershipRemoved();\x94e8b32e01b9eedfddd778ffbd051a7718cdc14781702884561162dca6f74dbb;10
LockedFunds(address,uint256);\x1bd6fb9fa2c39ce5d0d2afa1eaba998963eb5f553fd862c94f131aa9e35c1577;10
MaximumSellableTokensChanged(uint256);\x7df545c7a1df0d2a1ba979e94124b026facab86a15ed46b6b4a732d995f9e182;10
Invested(address,uint256,uint256,uint128);\x0396f60aaad038749091d273dc13aaabc63db6e2271c7bad442d5cf25cc43350;10
Whitelisted(address,bool,uint256,uint256);\xc03e2cbfed65ba7e1df8d32da4afaccb75208d8a6b188f67800ceb19cb9d5264;10
WhitelistItemChanged(address,bool,uint256,uint256);\x618943c36e69f6b3bae8b5bc48231e8911852a0c844743af41be110450a2a58f;10
StartsAtChanged(uint256);\xa3f2a813a039e5195c620dabcd490267a9aa5a50e4e1383bc474e9b800f7defe;10
EndsAtChanged(uint256);\xd34bb772c4ae9baa99db852f622773b31c7827e8ee818449fef20d30980bd310;10
Exchanged(address,address,uint256);\xbfe8a577be0467bcfe71ce2e21108360b107663d704696fa9c7b60c715365bb3;10
ImageChange(bytes32,uint8,uint8,uint256);\x3abc651fe936678689121041434e970f4438593ff158dd6757243e7fd4510ab9;10
PriceChange(uint256);\xf347ee99503bf19c028bd6b18f3c676e82a9bb5b2bb5225aebe0fd62fd6a0d19;10
RuleChange(bool,bool,bool,bool,bool);\xdad319721f47cead5eaf4bb86e03ec7d4e838fc918247e31dc56bbc095e43f78;10
HouseRetrievedTake(uint256,uint256);\x95a874a43e2b35cd8dd5c26d75b8c95ea2cd8152f17d40ac971f7844a976f051;10
TokensWagered(address,uint256);\xffec332ee2fd2582418c268a644e2f4b7a2f50cd3b4cf74e4adc3a524e0af502;10
LogResult(address,uint256,uint256,uint256,bool);\x0f89dfa4cc1f7c1a75982c7ec34503a2028bef6badb0dd10366a08b4d9d12f09;10
Loss(address);\xf23d349389162f862ceb43c2ae74e32fa655b1412e25312df0c6a8db487d93f0;10
Jackpot(address);\x251bdb61db1db8d10ba877c91e7b9fc6a30b9d088dff8edf3131dac1b733a449;10
EightXMultiplier(address);\x50099dd30f462fb91489f20c24e8b1a8fa5d1d99bd0ccf8b08c0f22d360e1458;10
ReturnBet(address);\xdfc16484225552d0ee29cf8f69213e951597111575666888853b0e7fded8587b;10
TwoAndAHalfXMultiplier(address);\xd89bd3475207c60ee850f14fdfef40418c7750bb6501e8f4cb2aa71b5f9dd226;10
OneAndAHalfXMultiplier(address);\xecb88ec9494095ffa14ed47e842b370415df30ee5060b3d7a74a1cd46f8a5951;10
LogBet(address,uint256,uint256);\xcfb6e9afebabebfb2c7ac42dfcd2e8ca178dc6400fe8ec3075bd690d8e3377fe;10
LogResult(address,uint256,uint256,uint256,uint256,bool);\x34079d79bb31b852e172198518083b845886d3d6366fcff691718d392250a989;10
LogOwnerTransfer(address,uint256);\x42c501a185f41a8eb77b0a3e7b72a6435ea7aa752f8a1a0a13ca4628495eca91;10
MaxProfitChanged(uint256,uint256);\xc515cfc3ee14c6e587c5755cfe9e60d7779b40b2216c63bc3699111dcdd45a8d;10
CurrentContractBalance(uint256);\xdff64b0d3aeb3f517dce05c4a4b3f84c29fe10fa9c3390c3e85122da92101dee;10
OwnerChanged(address,address);\xb532073b38c83145e3e5135377a08bf9aab55bc0fd7c1179cd4fb995d2a5159c;10
LimitsChanged(uint256,uint256,uint256);\xcc8d22e807ea92fa44cbc984df35dfbb8351ddf6302b105e5e3cef56dbe45712;10
KYCSubmitted(address,bytes32,bytes32,bytes32,bytes32,bytes32);\x3ccd56fef6cdc45b78eacd8794075eb720fea9f7bee564888776977e41314f1b;10
ContributionReceived(address,uint256);\x1bb460ccaaf70fbacfec17a376f8acbd278c1405590ffcc8ebe4b88daf4f64ad;10
ContributionWithdrawn(address,uint256);\xd6519e08ea229fce51d7ff642029f51927b4f4e0070fed87fdd3b4f12a9028cc;10
KYCReset(address,address);\x96b84f7e15c1880d2757ea88a09f841b32f73e49a682cdd4c05f2b9fa9fb9867;10
ContributionIncrease(uint256,uint256);\xdd210f9f0463e5de7efd3f289846673e24f16baceb003811a70413ca484c2ce7;10
ContributionAccepted(address,uint256,uint256);\xc82bd2657a86085d10f487c20f5c22d24b8031e8d43be961bfec4ee100df27ba;10
ContributionReturned(address,uint256);\x8d48cfb0324eb5769d302bd128b3ce8f59a4d16bab0d4ed4e4f843de3a556c7d;10
EtherWithdrawn(address,uint256,uint256);\xd5ca65e1ec4f4864fea7b9c5cb1ec3087a0dbf9c74641db3f6458edf445c4051;10
Debug(string,bool);\xd1401e4d321999a7547f3d989953912043b0f4ab8471cc7307695072f6ee9d83;10
Debug(string,uint256);\x3c5ad147104e56be34a9176a6692f7df8d2f4b29a5af06bc6b98970d329d6577;10
